train_size,train_r2,test_r2,train_mae,test_mae,train_mse,test_mse
639,0.6265721156126689,0.452720628420609,26.504297472814997,32.518414740246136,1251.2660455472183,1802.1319813798095
774,0.615624793366222,0.4548442520228887,27.004890179892843,32.29049988556863,1300.2966430035217,1795.139117755082
908,0.6040841705632529,0.4625970902640528,27.277630178749824,32.005302499477494,1347.1416710451197,1769.6098570768554
1043,0.5964998080971755,0.4711448664159984,27.322774079817485,31.686582658598216,1354.2718251883462,1741.4629515418603
1177,0.5905012182667224,0.47027463349171406,27.323718300125005,31.636308037062015,1352.2339378610448,1744.3285347623212
1312,0.5852673173936325,0.480469851027844,27.763850319763506,31.41367282327931,1377.9260299431633,1710.756782320856
1446,0.579941141926305,0.48480616847331093,27.902482795952764,31.12413664616094,1382.785154308912,1696.4777563686462
1581,0.5691391874950981,0.47882156861206426,28.033001077665247,31.254739021807353,1391.2359484836288,1716.1843986537176
1715,0.5608497441079059,0.4798029895508509,28.278338811846588,31.171085204887152,1423.6602176436513,1712.9526852860477
1850,0.5489826744984201,0.4718825730973837,28.294112057082714,31.358963100543157,1440.056479488871,1739.033762954749
1984,0.5418146834346522,0.471972132185138,28.638255159729912,31.347270464270522,1481.2309629919134,1738.7388545320186
2119,0.5431032929729289,0.47189299196021095,28.729510355738327,31.224132926950467,1492.5746920246788,1738.9994547624697
2253,0.5461841631594884,0.47575832526017814,28.83059567861646,31.039355881252934,1495.0030654583552,1726.2713288357415
2388,0.5431197985294559,0.4724675974472028,29.03733383443787,31.058087617017154,1513.6689018248626,1737.1073408284183
2522,0.5336371360516059,0.4732400171621567,29.406725490322007,31.104443552735752,1538.1281377253804,1734.563845963356
2657,0.5362392075304163,0.47349039271410287,29.435975047884288,31.11829703826331,1540.5916264120115,1733.7393862578572
2791,0.5341235467851413,0.4736382386769026,29.478606407463825,31.004785408335124,1547.8561422924338,1733.2525454381305
2926,0.5307365091618093,0.4785976188036064,29.538949110643227,30.98924622479607,1557.390541091113,1716.9218412342432
3060,0.5256814864248294,0.47516137920970414,29.682044087949148,31.07067505818583,1569.6398466842688,1728.2370078373326
3195,0.5238890338489319,0.47584889995905744,29.805015257481678,31.022083060081968,1582.072334997787,1725.9730761150456
